month, passenger
"2004-01",1785471
"2004-02",1835597
"2004-03",2203695
"2004-04",2354331
"2004-05",2461606
"2004-06",2481026
"2004-07",2769381
"2004-08",2790218
"2004-09",2699830
"2004-10",2601735
"2004-11",2096659
"2004-12",2039967
"2005-01",1900875
"2005-02",1823375
"2005-03",2331881
"2005-04",2409989
"2005-05",2634812
"2005-06",2642004
"2005-07",2834965
"2005-08",2707461
"2005-09",2658440
"2005-10",2549147
"2005-11",2108475
"2005-12",2090795
"2006-01",1932702
"2006-02",1882978
"2006-03",2353318
"2006-04",2603561
"2006-05",2772277
"2006-06",2734331
"2006-07",2997932
"2006-08",2940307
"2006-09",2817337
"2006-10",2725241
"2006-11",2212440
"2006-12",2216801
"2007-01",2063477
"2007-02",1999694
"2007-03",2546157
"2007-04",2779858
"2007-05",2886623
"2007-06",3020421
"2007-07",3317254
"2007-08",3259327
"2007-09",3153710
"2007-10",3076744
"2007-11",2472992
"2007-12",2371047
"2008-01",2215639
"2008-02",2180958
"2008-03",2690271
"2008-04",3087039
"2008-05",3364340
"2008-06",3400166
"2008-07",3646110
"2008-08",3664709
"2008-09",3334184
"2008-10",3098051
"2008-11",2329331
"2008-12",2216411
"2009-01",2025011
"2009-02",2045460
"2009-03",2639876
"2009-04",2990477
"2009-05",3081724
"2009-06",2996369
"2009-07",3382334
"2009-08",3436395
"2009-09",3161482
"2009-10",3052272
"2009-11",2478342
"2009-12",2521895
"2010-01",2297141
"2010-02",2190848
"2010-03",2791984
"2010-04",2912851
"2010-05",3239359
"2010-06",3272551
"2010-07",3656010
"2010-08",3750249
"2010-09",3480291
"2010-10",3404724
"2010-11",2691797
"2010-12",2650374
"2011-01",2435782
"2011-02",2255888
"2011-03",2840897
"2011-04",3155634
"2011-05",3387716
"2011-06",3484274
"2011-07",3881984
"2011-08",3862803
"2011-09",3639420
"2011-10",3415852
"2011-11",2675625
"2011-12",2657590
"2012-01",2459289
"2012-02",2186770
"2012-03",2797122
"2012-04",3171232
"2012-05",3322639
"2012-06",3426577
"2012-07",3867684
"2012-08",3837606
"2012-09",3723975
"2012-10",3266484
"2012-11",2542819
"2012-12",2460807
"2013-01",2258561
"2013-02",2155726
"2013-03",2753309
"2013-04",3041391
"2013-05",3305004
"2013-06",3457581
"2013-07",3767632
"2013-08",3782842
"2013-09",3588004
"2013-10",3213332
"2013-11",2460306
"2013-12",2483996
"2014-01",2288328
"2014-02",2181638
"2014-03",2797694
"2014-04",3199009
"2014-05",3429922
"2014-06",3686908
"2014-07",4035989
"2014-08",4136281
"2014-09",3875062
"2014-10",3548041
"2014-11",2720307
"2014-12",2724221
"2015-01",2448366
"2015-02",2379170
"2015-03",3056577
"2015-04",3450350
"2015-05",3527559
"2015-06",3662850
"2015-07",4164917
"2015-08",4393776
"2015-09",4077054
"2015-10",3725290
"2015-11",2829395
"2015-12",2747904
"2016-01",2519784
"2016-02",2562745
"2016-03",3070276
"2016-04",3398890
"2016-05",3795176
"2016-06",3897294
"2016-07",4397161
"2016-08",4313356
"2016-09",4059216
"2016-10",3925863
"2016-11",2910018
"2016-12",2894990
"2017-01",2668262
"2017-02",2494322
"2017-03",3058717
"2017-04",3466047
"2017-05",3673712
"2017-06",3845130
"2017-07",4277932
"2017-08",4219229
"2017-09",3978716
"2017-10",3666114
"2017-11",2833610
"2017-12",2790090
"2018-01",2634251
"2018-02",2573853
"2018-03",3220554
"2018-04",3671955
"2018-05",3921637
"2018-06",4088050
"2018-07",4432641
"2018-08",4366802
"2018-09",4126612
"2018-10",3878229
"2018-11",3074114
